confidence,decision,episodeId,episodeNumber,episodeTitle,existingRelationship,matchedSignals,proposedTopic,rationale,series,supportingEvidence,triggeringEvidence
low,proposed,2017-somewhere-in-the-skies-episode-1,1,Richard Dolan: Media Bias in UFO Coverage,False,,UFO History,,Somewhere in the Skies,Ryan Sprague presents a interview focused on Media Bias in UFO Coverage. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.,
medium,proposed,2017-somewhere-in-the-skies-episode-10,10,Mark O'Connell: The Close Encounters Man,True,histor(?:y|ical|iography),UFO History,,Somewhere in the Skies,Ryan Sprague presents a research discussion focused on The Close Encounters Man. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.,
medium,proposed,2017-somewhere-in-the-skies-episode-3,3,Greg Eghigian: History of a Cultural Phenomenon,True,histor(?:y|ical|iography),UFO History,,Somewhere in the Skies,Ryan Sprague presents a research discussion focused on History of a Cultural Phenomenon. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.,
low,proposed,2017-somewhere-in-the-skies-episode-31,31,Robbie Graham: Silver Screen Saucers,False,,UFO History,,Somewhere in the Skies,"Ryan Sprague presents a film, television, or book discussion focused on Silver Screen Saucers. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.",
medium,proposed,2017-somewhere-in-the-skies-episode-7,7,Nick Redfern: The Roswell UFO Conspiracy,False,histor(?:y|ical|iography); roswell,UFO History,,Somewhere in the Skies,Ryan Sprague presents a case investigation focused on The Roswell UFO Conspiracy. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.,
high,proposed,2022-need-to-know-episode-12,12,Congressional UFO Hearings,False,histor(?:y|ical|iography),UFO History,,Need to Know,Ross Coulthart and Bryce Zabel review the history of congressional UFO hearings and assess what meaningful future oversight would require ahead of renewed public attention in 2022.,
high,proposed,2022-need-to-know-episode-15,15,Estimate of the Situation,False,histor(?:y|ical|iography); early (?:air force|ufo|investigation),UFO History,,Need to Know,Ross Coulthart and Bryce Zabel examine the reported 1948 Project Sign Estimate of the Situation and what the document’s disputed history reveals about early Air Force UFO analysis and institutional resistance.,
high,proposed,2022-need-to-know-episode-16,16,Summer of the Saucers,False,histor(?:y|ical|iography),UFO History,,Need to Know,"Ross Coulthart and Bryce Zabel examine the renewed public and congressional focus on UFOs in the summer of 2022, placing the May hearing and continuing media attention within a longer cycle of official interest.",
high,proposed,2022-need-to-know-episode-21,21,UFOlogy Must Die?,False,histor(?:y|ical|iography); ufology,UFO History,,Need to Know,"Ross Coulthart and Bryce Zabel return after their documentary special to examine Luis Elizondo’s argument that traditional ufology should give way to a more disciplined, scientific, and evidence-centered approach.",
high,proposed,2025-weaponized-episode-102,102,Jacques Vallée — The Bizarre Nature of UFOs,False,histor(?:y|ical|iography); project blue book,UFO History,,WEAPONIZED,"Jacques Vallée joins Jeremy Corbell and George Knapp for a wide-ranging discussion of UFO history, Project Blue Book, remote viewing, NIDS, AAWSAP, crash retrievals, the Trinity case, congressional secrecy, science, and paths forward.",
