Entity Name,Entity ID,Entity Type,Research Destination Test,Independent Knowledge Test,Relationship Convergence,Long-Term Significance,Better Parent Assessment,Entity Worthiness Score,Recommended Knowledge Role,Supporting Evidence,Justification,Final Recommendation,Human Decision
1946 Scandinavian Ghost Rocket Reports,1946-scandinavian-ghost-rockets,case,borderline,borderline,fail,fail,no,56,Destination Entity,1 inbound; 1 outbound; 2 related entities; 0 references,1946 Scandinavian Ghost Rocket Reports scores 56/100. only 2 neighboring entities and 2 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Human review required,pending
1966 Minot Missile UFO Incident,1966-minot-missile-ufo-incident,case,borderline,fail,fail,borderline,no,55,Destination Entity,1 inbound; 0 outbound; 1 related entities; 0 references,1966 Minot Missile UFO Incident scores 55/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Human review required,pending
1977 Ellsworth Air Force Base UFO Incident,1977-ellsworth-air-force-base-incident,case,borderline,fail,fail,borderline,no,56,Destination Entity,1 inbound; 0 outbound; 1 related entities; 0 references,1977 Ellsworth Air Force Base UFO Incident scores 56/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Human review required,pending
1994 Ariel School Encounter,1994-ariel-school-encounter,case,borderline,borderline,fail,borderline,possible,60,Supporting Entity,1 inbound; 1 outbound; 1 related entities; 1 references,"1994 Ariel School Encounter scores 60/100. only 1 neighboring entities and 2 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #69 — John Mack, Ariel School, and Reporting the Unreportable.",Human review required,pending
2003 Vandenberg UAP Incidents,2003-vandenberg-uap-incidents,case,borderline,fail,fail,borderline,no,54,Destination Entity,1 inbound; 0 outbound; 1 related entities; 0 references,2003 Vandenberg UAP Incidents scores 54/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Human review required,pending
2004 Nimitz Encounter,2004-nimitz-encounter,case,pass,borderline,pass,pass,no,84,Destination Entity,22 inbound; 4 outbound; 24 related entities; 0 references,2004 Nimitz Encounter scores 84/100. 24 meaningful neighboring entities and 8 relationship types converge here; the current record has limited independent research depth; its subject appears durable and significant within UAP research.,Recommend destination status,pending
2014–2015 East Coast Navy Encounters,2014-2015-east-coast-navy-encounters,case,pass,borderline,pass,pass,no,77,Destination Entity,4 inbound; 3 outbound; 6 related entities; 0 references,2014–2015 East Coast Navy Encounters scores 77/100. 6 meaningful neighboring entities and 7 relationship types converge here; the current record has limited independent research depth; its subject appears durable and significant within UAP research.,Recommend destination status,pending
2015 Pantex Diamond-Shaped UAP Incident,2015-pantex-diamond-uap-incident,case,borderline,borderline,fail,borderline,no,64,Destination Entity,1 inbound; 1 outbound; 2 related entities; 1 references,2015 Pantex Diamond-Shaped UAP Incident scores 64/100. only 2 neighboring entities and 2 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Human review required,pending
2016 Mosul Orb Incident,2016-mosul-orb-incident,case,borderline,borderline,fail,borderline,possible,62,Supporting Entity,1 inbound; 1 outbound; 1 related entities; 1 references,2016 Mosul Orb Incident scores 62/100. only 1 neighboring entities and 2 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #81 — The Full Mosul Orb Video.,Human review required,pending
2017 Iraq Jellyfish UAP Incident,2017-iraq-jellyfish-uap,case,pass,borderline,borderline,pass,no,75,Destination Entity,3 inbound; 3 outbound; 5 related entities; 1 references,2017 Iraq Jellyfish UAP Incident scores 75/100. only 5 neighboring entities and 5 relationship types currently converge here; the current record has limited independent research depth; its subject appears durable and significant within UAP research.,Recommend destination status,pending
