Entity Name,Entity ID,Entity Type,Curator-Approved Entity Type,Destination Eligibility,Destination Tier,Navigation Prominence,Entity-Type Baseline,Entity Worthiness Score,Entity-Type Percentile,Research Value Narrative,Supporting Evidence,Justification,Human Recommendation,Human Decision
1946 Scandinavian Ghost Rocket Reports,1946-scandinavian-ghost-rockets,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,48,17.5,"1946 Scandinavian Ghost Rocket Reports is evaluated against the case baseline. It has 2 related entities, 2 relationship types, 0 source or official-link references, and a type-weighted score of 48/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 1 outbound; 2 related entities; 0 references,"1946 Scandinavian Ghost Rocket Reports is evaluated against the case baseline. It has 2 related entities, 2 relationship types, 0 source or official-link references, and a type-weighted score of 48/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
1966 Minot Missile UFO Incident,1966-minot-missile-ufo-incident,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,48,20.0,"1966 Minot Missile UFO Incident is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 48/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 0 outbound; 1 related entities; 0 references,"1966 Minot Missile UFO Incident is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 48/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
1977 Ellsworth Air Force Base UFO Incident,1977-ellsworth-air-force-base-incident,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,48,22.5,"1977 Ellsworth Air Force Base UFO Incident is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 48/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 0 outbound; 1 related entities; 0 references,"1977 Ellsworth Air Force Base UFO Incident is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 48/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
1994 Ariel School Encounter,1994-ariel-school-encounter,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,52,35.0,"1994 Ariel School Encounter is evaluated against the case baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 52/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 1 outbound; 1 related entities; 1 references,"1994 Ariel School Encounter is evaluated against the case baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 52/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
2003 Vandenberg UAP Incidents,2003-vandenberg-uap-incidents,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,47,15.0,"2003 Vandenberg UAP Incidents is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 47/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 0 outbound; 1 related entities; 0 references,"2003 Vandenberg UAP Incidents is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 47/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
2004 Nimitz Encounter,2004-nimitz-encounter,case,Yes,Qualifies as a destination,Tier 1 — Core Research Destination,Featured Research Gateway,case,78,100.0,"2004 Nimitz Encounter is evaluated against the case baseline. It has 24 related entities, 8 relationship types, 0 source or official-link references, and a type-weighted score of 78/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",22 inbound; 4 outbound; 24 related entities; 0 references,"2004 Nimitz Encounter is evaluated against the case baseline. It has 24 related entities, 8 relationship types, 0 source or official-link references, and a type-weighted score of 78/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
2014–2015 East Coast Navy Encounters,2014-2015-east-coast-navy-encounters,case,Yes,Qualifies as a destination,Tier 1 — Core Research Destination,Featured Research Gateway,case,69,92.5,"2014–2015 East Coast Navy Encounters is evaluated against the case baseline. It has 6 related entities, 7 relationship types, 0 source or official-link references, and a type-weighted score of 69/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",4 inbound; 3 outbound; 6 related entities; 0 references,"2014–2015 East Coast Navy Encounters is evaluated against the case baseline. It has 6 related entities, 7 relationship types, 0 source or official-link references, and a type-weighted score of 69/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
2015 Pantex Diamond-Shaped UAP Incident,2015-pantex-diamond-uap-incident,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,56,62.5,"2015 Pantex Diamond-Shaped UAP Incident is evaluated against the case baseline. It has 2 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 56/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 1 outbound; 2 related entities; 1 references,"2015 Pantex Diamond-Shaped UAP Incident is evaluated against the case baseline. It has 2 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 56/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
2016 Mosul Orb Incident,2016-mosul-orb-incident,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,54,45.0,"2016 Mosul Orb Incident is evaluated against the case baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 54/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 1 outbound; 1 related entities; 1 references,"2016 Mosul Orb Incident is evaluated against the case baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 54/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
2017 Iraq Jellyfish UAP Incident,2017-iraq-jellyfish-uap,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Frequently Recommended,case,67,90.0,"2017 Iraq Jellyfish UAP Incident is evaluated against the case baseline. It has 5 related entities, 5 relationship types, 1 source or official-link references, and a type-weighted score of 67/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",3 inbound; 3 outbound; 5 related entities; 1 references,"2017 Iraq Jellyfish UAP Incident is evaluated against the case baseline. It has 5 related entities, 5 relationship types, 1 source or official-link references, and a type-weighted score of 67/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
2019 U.S. Navy Ship Swarm Incidents,2019-us-navy-ship-swarm-incidents,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,53,40.0,"2019 U.S. Navy Ship Swarm Incidents is evaluated against the case baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 53/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 1 outbound; 1 related entities; 1 references,"2019 U.S. Navy Ship Swarm Incidents is evaluated against the case baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 53/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
2023 USS Jackson Tic Tac Incident,2023-uss-jackson-tic-tac-incident,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,56,65.0,"2023 USS Jackson Tic Tac Incident is evaluated against the case baseline. It has 2 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 56/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",2 inbound; 1 outbound; 2 related entities; 1 references,"2023 USS Jackson Tic Tac Incident is evaluated against the case baseline. It has 2 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 56/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
