Destination Topic,Podcast Series,Episode Number,Episode Title,Episode ID,Current Topic Coverage Summary,Current Topic Strengths,Current Topic Gaps,Researcher Benefit Assessment,Topic Improvement Assessment,Unique Contribution Assessment,Coverage Gap Filled,Complementary Coverage Assessment,Redundancy Assessment,Topic Coverage Score,Improvement Category,Subject Relevance Test,Research Value Test,Case Inheritance Test,Research Value Explanation,Confidence Level,Final Recommendation,Human Decision,Reviewer Notes
UFO History,Somewhere in the Skies,1,Somewhere in the Skies Episode #1 — Richard Dolan: Media Bias in UFO Coverage,2017-somewhere-in-the-skies-episode-1,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique investigator; unique evidence; historical context,witness/investigator diversity,Adds complementary perspective,No material redundancy identified,24,Broadens topic coverage; Deepens existing research; Adds unique evidence; Adds unique witness; Adds unique investigator; Improves chronology; Fills research gap,needs_review,fail,not_applicable,"This episode broadens and deepens the UFO History destination topic. it contributes unique investigator, unique evidence, historical context; it fills gaps in witness/investigator diversity. Topic Coverage Score 24/100 indicates little additional improvement. The candidate contributes unique investigator, unique evidence, historical context; it fills witness/investigator diversity.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,10,Somewhere in the Skies Episode #10 — Mark O'Connell: The Close Encounters Man,2017-somewhere-in-the-skies-episode-10,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique investigator; unique evidence; historical context,,No clear complementary contribution,Primarily redundant,0,Adds unique evidence; Adds unique investigator; Improves chronology; Primarily redundant,pass,fail,not_applicable,"This episode does not materially expand the UFO History destination topic. it contributes unique investigator, unique evidence, historical context; however, substantial existing coverage makes it primarily redundant. Topic Coverage Score 0/100 indicates little additional improvement. The candidate contributes unique investigator, unique evidence, historical context; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,11,"Somewhere in the Skies Episode #11 — Erica Lukes: Dugway, Skinwalker Ranch, and UFOs over Utah",2017-somewhere-in-the-skies-episode-11,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique witness; unique investigator; unique evidence; historical context,,Adds complementary perspective,No material redundancy identified,17,Deepens existing research; Adds unique evidence; Adds unique witness; Adds unique investigator; Improves chronology,needs_review,fail,not_applicable,"This episode deepens the UFO History destination topic. it contributes unique witness, unique investigator, unique evidence. Topic Coverage Score 17/100 indicates little additional improvement. The candidate contributes unique witness, unique investigator, unique evidence; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,17,"Somewhere in the Skies Episode #17 — Peter Robbins: Imagery, Reality, and UFOs: Sorting Truth From Fiction",2017-somewhere-in-the-skies-episode-17,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique investigator; unique evidence; historical context,,No clear complementary contribution,Primarily redundant,0,Adds unique evidence; Adds unique investigator; Improves chronology; Primarily redundant,pass,fail,not_applicable,"This episode does not materially expand the UFO History destination topic. it contributes unique investigator, unique evidence, historical context; however, substantial existing coverage makes it primarily redundant. Topic Coverage Score 0/100 indicates little additional improvement. The candidate contributes unique investigator, unique evidence, historical context; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,18,"Somewhere in the Skies Episode #18 — MJ Banias: Whiskey, UFOs, and Shaking the ET Hypothesis",2017-somewhere-in-the-skies-episode-18,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique investigator; unique evidence; historical context,,No clear complementary contribution,Primarily redundant,0,Adds unique evidence; Adds unique investigator; Improves chronology; Primarily redundant,pass,fail,not_applicable,"This episode does not materially expand the UFO History destination topic. it contributes unique investigator, unique evidence, historical context; however, substantial existing coverage makes it primarily redundant. Topic Coverage Score 0/100 indicates little additional improvement. The candidate contributes unique investigator, unique evidence, historical context; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,19,Somewhere in the Skies Episode #19 — Ben Mezrich: The 37th Parallel,2017-somewhere-in-the-skies-episode-19,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique witness; unique investigator; unique evidence; historical context,,Adds complementary perspective,No material redundancy identified,17,Deepens existing research; Adds unique evidence; Adds unique witness; Adds unique investigator; Improves chronology,needs_review,fail,not_applicable,"This episode deepens the UFO History destination topic. it contributes unique witness, unique investigator, unique evidence. Topic Coverage Score 17/100 indicates little additional improvement. The candidate contributes unique witness, unique investigator, unique evidence; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,2,"Somewhere in the Skies Episode #2 — Micah Hanks: Building a Better UFOlogy | Truth, Myths & the Future of UAP Research",2017-somewhere-in-the-skies-episode-2,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique investigator; unique evidence; historical context,,No clear complementary contribution,Primarily redundant,0,Adds unique evidence; Adds unique investigator; Improves chronology; Primarily redundant,pass,fail,not_applicable,"This episode does not materially expand the UFO History destination topic. it contributes unique investigator, unique evidence, historical context; however, substantial existing coverage makes it primarily redundant. Topic Coverage Score 0/100 indicates little additional improvement. The candidate contributes unique investigator, unique evidence, historical context; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,20,Somewhere in the Skies Episode #20 — Spooked in Nova Scotia: A Paranormal Roundtable,2017-somewhere-in-the-skies-episode-20,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique evidence; historical context,,No clear complementary contribution,Primarily redundant,0,Adds unique evidence; Improves chronology; Primarily redundant,pass,fail,not_applicable,"This episode does not materially expand the UFO History destination topic. it contributes unique evidence, historical context; however, substantial existing coverage makes it primarily redundant. Topic Coverage Score 0/100 indicates little additional improvement. The candidate contributes unique evidence, historical context; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,21,"Somewhere in the Skies Episode #21 — Jason McClellan: Beers, Ghosts, and UFOs",2017-somewhere-in-the-skies-episode-21,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique evidence; historical context,,No clear complementary contribution,Primarily redundant,0,Adds unique evidence; Improves chronology; Primarily redundant,pass,fail,not_applicable,"This episode does not materially expand the UFO History destination topic. it contributes unique evidence, historical context; however, substantial existing coverage makes it primarily redundant. Topic Coverage Score 0/100 indicates little additional improvement. The candidate contributes unique evidence, historical context; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,22,Somewhere in the Skies Episode #22 — Mike Clelland: The Messengers,2017-somewhere-in-the-skies-episode-22,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique investigator; unique evidence; historical context,,No clear complementary contribution,Primarily redundant,0,Adds unique evidence; Adds unique investigator; Improves chronology; Primarily redundant,pass,fail,not_applicable,"This episode does not materially expand the UFO History destination topic. it contributes unique investigator, unique evidence, historical context; however, substantial existing coverage makes it primarily redundant. Topic Coverage Score 0/100 indicates little additional improvement. The candidate contributes unique investigator, unique evidence, historical context; it fills no identified coverage gap.",low,do_not_recommend,pending,
